freq,texto,texto2,grupo
1,50breviver,50breviver,NP00V00
1,Abra,abra,NP00V00
1,Absolvo,absolvo,NP00V00
1,Acabou,acabou,NP00V00
1,Aceito,aceito,NP00V00
1,Acertou,acertou,NP00V00
1,Acho,acho,NP00V00
1,Acintemente,acintemente,NP00V00
1,Aconteceu,aconteceu,NP00V00
1,Agudíssíma,agudíssíma,NP00V00
1,Ajuda,ajuda,NP00G00
1,Albuquerques,albuquerques,NP00V00
1,Albuquerques_de_Viseu,albuquerques_de_viseu,NP00V00
1,Alcobaça,alcobaça,NP00G00
1,Alma,alma,NP00SP0
1,Almacave,almacave,NP00G00
1,Amaro_Lampreia,amaro_lampreia,NP00SP0
1,Ana,ana,NP00SP0
1,Anda,anda,NP00SP0
1,Anjo,anjo,NP00SP0
1,Anselmo,anselmo,NP00G00
1,Antônio,antônio,NP00SP0
1,Antônio_Maria_de_Fontes_Pereira_de_Melo,antônio_maria_de_fontes_pereira_de_melo,NP00SP0
1,Antônio_de_Araújo_de_Azevedo,antônio_de_araújo_de_azevedo,NP00SP0
1,Antônio_de_Azevedo_Castelo_Branco_Pereira_de_a_Silva,antônio_de_azevedo_castelo_branco_pereira_de_a_silva,NP00SP0
1,Arranjou,arranjou,NP00V00
1,Arrepiam-se,arrepiam-se,NP00V00
1,Atira,atira,NP00V00
1,Autor,autor,NP00SP0
1,Ave-Maria,ave-maria,NP00V00
1,Ave-Marias,ave-marias,NP00V00
1,Aveiro,aveiro,NP00G00
1,Açores,açores,NP00G00
1,BRANCO,branco,NP00SP0
1,Badajoz,badajoz,NP00G00
1,Balsemão,balsemão,NP00SP0
1,Baltasar_Coutínho,baltasar_coutínho,NP00SP0
1,Baltazar,baltazar,NP00SP0
1,Balzac,balzac,NP00V00
1,Barca,barca,NP00G00
1,Bela,bela,NP00G00
1,Bemposta,bemposta,NP00G00
1,Bendito,bendito,NP00V00
1,Bento_Machado,bento_machado,NP00SP0
1,Bernardim_Ribeiro,bernardim_ribeiro,NP00SP0
1,Bomjardim_de_o_Porto,bomjardim_de_o_porto,NP00V00
1,Botelho_Castelo-Branco,botelho_castelo-branco,NP00SP0
1,Brito,brito,NP00G00
1,CAMILO_CAS'TELO,camilo_cas'telo,NP00SP0
1,Cala,cala,NP00G00
1,Caldeirão,caldeirão,NP00V00
1,Camilo_Castelo_Branco,camilo_castelo_branco,NP00SP0
1,Caminhemos,caminhemos,NP00V00
1,Cartas,cartas,NP00V00
1,Casa_de_a_Suplicação,casa_de_a_suplicação,NP00SP0
1,Castro-d'Aíre,castro-d'aíre,NP00V00
1,Castrod'ALre,castrod'alre,NP00V00
1,Chame,chame,NP00G00
1,Chamou_Simão,chamou_simão,NP00V00
1,Chora,chora,NP00V00
1,Chorei,chorei,NP00V00
1,Choro,choro,NP00V00
1,Coma,coma,NP00V00
1,Comandante,comandante,NP00SP0
1,Começo,começo,NP00SP0
1,Consolar-te-á,consolar-te-á,NP00V00
1,Conspiram,conspiram,NP00V00
1,Consta,consta,NP00V00
1,Correia_Botelho,correia_botelho,NP00SP0
1,Corunha_Manuel_Botelho,corunha_manuel_botelho,NP00G00
1,Coutinho,coutinho,NP00SP0
1,Cristo,cristo,NP00SP0
1,Cuidas,cuidas,NP00V00
1,Cuide,cuide,NP00SP0
1,Custa,custa,NP00V00
1,D._Deniz,d._deniz,NP00SP0
1,D._Maria_I,d._maria_i,NP00SP0
1,D._Ri,d._ri,NP00SP0
1,D._Rita_Preciosa_Caldeirão_Castelo_Branco,d._rita_preciosa_caldeirão_castelo_branco,NP00SP0
1,D._Teresa_Clementina,d._teresa_clementina,NP00SP0
1,D._Teresinha_de_Albuquerque,d._teresinha_de_albuquerque,NP00SP0
1,D0,d0,NP00O00
1,Dai,dai,NP00V00
1,Danton,danton,NP00SP0
1,Dar-se-á,dar-se-á,NP00V00
1,Davam,davam,NP00V00
1,Deixa,deixa,NP00SP0
1,Desconfio,desconfio,NP00V00
1,Desembargo,desembargo,NP00G00
1,Desembargo_de_o_Paço,desembargo_de_o_paço,NP00G00
1,Desgraça,desgraça,NP00V00
1,Desmoulins,desmoulins,NP00V00
1,Deve,deve,NP00V00
1,Devemos,devemos,NP00V00
