capítulos,caracteres,freq_rel,sentimento,palavras,freq_rel2
1,28323,5.91,-60.5,4829,5.82
2,20918,4.36,-67.0,3658,4.41
3,23949,5.00,-85.0,4209,05.07
4,21936,4.58,-78.0,3855,4.65
5,41738,8.71,-65.0,7107,8.57
6,38303,7.99,-57.5,6688,08.06
7,27461,5.73,-38.0,4662,5.62
8,19219,04.01,-47.0,3300,3.98
9,30873,6.44,-90.5,5366,6.47
10,27169,5.67,-49.5,4686,5.65
11,20842,4.35,-27.5,3606,4.35
12,33041,6.89,-55.0,5772,6.96
13,19718,4.11,-22.5,3412,4.11
14,21366,4.46,-49.0,3737,4.51
15,31097,6.49,-106.0,5328,6.42
16,38878,8.11,-91.0,6739,8.12
17,33245,6.93,-46.5,5766,6.95
